transit_score,transit_score_delta,filename,link_id
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_30919,30919
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_31117,31117
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_31208,31208
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_31318,31318
16954924462,2572832,/home/mwbc/ped-transit-data/networks/links/link_id_31399,31399
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_31445,31445
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_31470,31470
16952532968,181338,/home/mwbc/ped-transit-data/networks/links/link_id_31524,31524
16952387131,35501,/home/mwbc/ped-transit-data/networks/links/link_id_31531,31531
16953355023,1003393,/home/mwbc/ped-transit-data/networks/links/link_id_31571,31571
16952418214,66584,/home/mwbc/ped-transit-data/networks/links/link_id_31639,31639
16952565366,213736,/home/mwbc/ped-transit-data/networks/links/link_id_31778,31778
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_3191,3191
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_31939,31939
16952544463,192833,/home/mwbc/ped-transit-data/networks/links/link_id_32048,32048
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32079,32079
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32232,32232
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32305,32305
16952352350,720,/home/mwbc/ped-transit-data/networks/links/link_id_32369,32369
16954690199,2338569,/home/mwbc/ped-transit-data/networks/links/link_id_3237,3237
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32428,32428
16952358214,6584,/home/mwbc/ped-transit-data/networks/links/link_id_32451,32451
16966449536,14097906,/home/mwbc/ped-transit-data/networks/links/link_id_32520,32520
16952356597,4967,/home/mwbc/ped-transit-data/networks/links/link_id_32594,32594
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32713,32713
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32724,32724
16952602599,250969,/home/mwbc/ped-transit-data/networks/links/link_id_32734,32734
16953782717,1431087,/home/mwbc/ped-transit-data/networks/links/link_id_32922,32922
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_32960,32960
16952414237,62607,/home/mwbc/ped-transit-data/networks/links/link_id_33089,33089
16956360406,4008776,/home/mwbc/ped-transit-data/networks/links/link_id_33117,33117
